# The clo_twin rows were arbitrated against Cellosaurus (cellosaurus.obo release 56.0,
# 25-June-2026) on 2026-08-29: a row survives only where both CLO labels are verbatim
# synonyms of ONE Cellosaurus accession. Six pairs whose spellings name more than one
# line were dropped -- 'H9' is also the WA09 stem line, 'U-373 MG' is both the ATCC and
# the Uppsala line. Label resemblance alone is not evidence and no longer produces a row;
# see scripts/build_term_crossmatch.py.
# Terms Gemma resolves to a different URI on read, until the database migration runs.
#
# 🛑 THIS FILE IS THE SINGLE SOURCE. scripts/sql/term_uri_migration.sql is GENERATED from it by
# scripts/gen_term_uri_migration.py, and CharacteristicUtils#canonicalUri reads it at runtime.
# Edit here and regenerate; never edit the SQL by hand.
#
# WHY A READ-TIME SHIM RATHER THAN THE MIGRATION: the agent pipeline is calibrated against a
# MAY snapshot of Gemma, and migrating prod now would put the corpus out of sync with it
# (Paul, 2026-08-18). The Gemma 2.0 write path is separately held until PR #1667 merges and
# 1.0 redeploys. So Gemma returns the right term today and the rows move later.
#
# WHEN THE MIGRATION RUNS, DELETE THE ROWS THAT HAVE ANNOTATIONS. A shim left in place after
# the data is fixed is a second, silent rewrite of correct rows. The n_annotations=0 rows are
# NOT migration rows and stay -- see below.
#
# 🛑 GROUPS ARE ANCHORED ON THE ONTOLOGY, NOT ON THE CORPUS, AND 49 ROWS MIGRATE NOTHING.
# A corpus-anchored pass can only see a twin the corpus USES. cab's Tier-0 synonym table MINTS
# CLO_0001199 (22RV1, zero uses) out of file order and asks us about it, so the twin we most
# need to answer for is exactly the one no census can show. Those rows exist for the resolver,
# not for the UPDATE: the generator drops n_annotations=0 from the SQL, where they would be
# no-ops, and serves them from GET /annotations/canonicalUris, where they are the whole point.
#
# 🛑 AN ABSENT URI MEANS NO MAPPING IS KNOWN. It never means the URI is correct. CLO has 262
# label-collision groups and this ladder decides 63 of them; the rest have no evidence that
# separates the twins, and silence about them is not a pass.
#
# Regenerate:
#   scripts/build_term_crossmatch.py --census <census>.tsv \
#       --clo-owl clo.owl --efo-obo efo.obo --out twins.tsv
#
# lane      malformed = the URI is wrong on its face (bare CURIE, a colon where OBO uses an
#                       underscore, an id concatenated with itself). Every repair was verified
#                       by resolving the repaired IRI against the live ontology.
#           clo_twin  = two live CLO classes for one cell line. R3 an EFO inbound xref, else
#                       R4 whichever carries a definition, else R5 usage -- and R5 must clear
#                       an evidence floor (winner >=2 annotations, leading by >=2) because a
#                       one-annotation margin is a single curator's spelling, not a
#                       measurement. See docs/design/TERM_URI_CANONICALIZATION.md.
lane	from_uri	from_label	to_uri	to_label	n_annotations	rule
malformed	http://purl.obolibrary.org/obo/CL:0000115	endothelial cell	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell	39	repaired IRI resolves
clo_twin	http://purl.obolibrary.org/obo/CLO_0007365	LNCAP cell	http://purl.obolibrary.org/obo/CLO_0037116	LNCaP cell	38	Cellosaurus 56.0: both spellings are synonyms of CVCL_0395 (LNCaP); R5 usage, among members equal on every stronger rule
malformed	http://purl.obolibrary.org/obo/CL:0000128	oligodendrocyte	http://purl.obolibrary.org/obo/CL_0000128	oligodendrocyte	19	repaired IRI resolves
clo_twin	http://purl.obolibrary.org/obo/CLO_0037291	MDAMB231 cell	http://purl.obolibrary.org/obo/CLO_0007634	MDA-MB-231 cell	16	Cellosaurus 56.0: both spellings are synonyms of CVCL_0062 (MDA-MB-231); R3 EFO xrefs it (an external ontology's editorial pick)
malformed	http://purl.obolibrary.org/obo/CL_0000669000669	pericyte	http://purl.obolibrary.org/obo/CL_0000669	pericyte	11	label of the repaired id matches
clo_twin	http://purl.obolibrary.org/obo/CLO_0003702	Hep 3B cell	http://purl.obolibrary.org/obo/CLO_0003710	HEP-3B cell	10	Cellosaurus 56.0: both spellings are synonyms of CVCL_0326 (Hep 3B2.1-7); R3 EFO xrefs it (an external ontology's editorial pick)
malformed	CL:0000115	endothelial cell	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell	9	expanded IRI resolves
malformed	CL:0000129	microglial cell	http://purl.obolibrary.org/obo/CL_0000129	microglial cell	9	expanded IRI resolves
malformed	CL:0000236	B cell	http://purl.obolibrary.org/obo/CL_0000236	B cell	9	expanded IRI resolves
malformed	CL:0000084	T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	8	expanded IRI resolves
malformed	CL:0000127	astrocyte	http://purl.obolibrary.org/obo/CL_0000127	astrocyte	8	expanded IRI resolves
malformed	CL:0000128	oligodendrocyte	http://purl.obolibrary.org/obo/CL_0000128	oligodendrocyte	8	expanded IRI resolves
malformed	CL:0000192	smooth muscle cell	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell	8	expanded IRI resolves
malformed	CL:0000617	GABAergic neuron	http://purl.obolibrary.org/obo/CL_0000617	GABAergic neuron	8	expanded IRI resolves
malformed	CL:0000623	natural killer cell	http://purl.obolibrary.org/obo/CL_0000623	natural killer cell	8	expanded IRI resolves
malformed	CL:0000669	pericyte	http://purl.obolibrary.org/obo/CL_0000669	pericyte	8	expanded IRI resolves
malformed	CL:0000786	plasma cell	http://purl.obolibrary.org/obo/CL_0000786	plasma cell	8	expanded IRI resolves
malformed	CL:0002453	oligodendrocyte precursor cell	http://purl.obolibrary.org/obo/CL_0002453	oligodendrocyte precursor cell	8	expanded IRI resolves
malformed	CL:4023011	lamp5 GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4023011	lamp5 GABAergic interneuron	8	expanded IRI resolves
malformed	CL:4023016	VIP GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4023016	VIP GABAergic interneuron	8	expanded IRI resolves
malformed	CL:4023017	sst GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4023017	sst GABAergic interneuron	8	expanded IRI resolves
malformed	CL:4023018	pvalb GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4023018	pvalb GABAergic interneuron	8	expanded IRI resolves
malformed	CL:4023040	L2/3-6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4023040	L2/3-6 intratelencephalic projecting glutamatergic neuron	8	expanded IRI resolves
malformed	CL:4023041	L5 extratelencephalic projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023041	L5 extratelencephalic projecting glutamatergic cortical neuron	8	expanded IRI resolves
malformed	CL:4023042	L6 corticothalamic-projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023042	L6 corticothalamic-projecting glutamatergic cortical neuron	8	expanded IRI resolves
malformed	CL:4023046	L6b glutamatergic neuron of the primary motor cortex	http://purl.obolibrary.org/obo/CL_4023046	L6b glutamatergic neuron of the primary motor cortex	8	expanded IRI resolves
malformed	CL:4023051	vascular leptomeningeal cell	http://purl.obolibrary.org/obo/CL_4023051	vascular leptomeningeal cell	8	expanded IRI resolves
malformed	CL:4030059	L2/3 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4030059	L2/3 intratelencephalic projecting glutamatergic neuron	8	expanded IRI resolves
malformed	CL:4030065	L6 intratelencephalic projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4030065	L6 intratelencephalic projecting glutamatergic neuron	8	expanded IRI resolves
malformed	CL:4030067	L5/6 near-projecting glutamatergic neuron	http://purl.obolibrary.org/obo/CL_4030067	L5/6 near-projecting glutamatergic neuron	8	expanded IRI resolves
clo_twin	http://purl.obolibrary.org/obo/CLO_0007059	K-562 cell	http://purl.obolibrary.org/obo/CLO_0007050	K 562 cell	8	Cellosaurus 56.0: both spellings are synonyms of CVCL_0004 (K-562); R4 carries a definition; its twin does not
clo_twin	http://purl.obolibrary.org/obo/CLO_0007529	MALME-3M cell	http://purl.obolibrary.org/obo/CLO_0007530	Malme-3M cell	5	Cellosaurus 56.0: both spellings are synonyms of CVCL_1438 (Malme-3M); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009034	SK-BR-3 cell	http://purl.obolibrary.org/obo/CLO_0037295	SKBR3 cell	3	Cellosaurus 56.0: both spellings are synonyms of CVCL_0033 (SK-BR-3); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001777	b.End3 cell	http://purl.obolibrary.org/obo/CLO_0001928	bEnd.3 cell	2	Cellosaurus 56.0: both spellings are synonyms of CVCL_0170 (bEnd.3); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009195	SW 480 cell	http://purl.obolibrary.org/obo/CLO_0009218	SW480 cell	2	Cellosaurus 56.0: both spellings are synonyms of CVCL_0546 (SW480); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009325	TF1 cell	http://purl.obolibrary.org/obo/CLO_0009326	TF-1 cell	2	Cellosaurus 56.0: both spellings are synonyms of CVCL_0559 (TF-1); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0037015	HCC-827 cell	http://purl.obolibrary.org/obo/CLO_0003659	HCC827 cell	2	Cellosaurus 56.0: both spellings are synonyms of CVCL_2063 (HCC827); R3 EFO xrefs it (an external ontology's editorial pick)
malformed	http://purl.obolibrary.org/obo/CL:0000127	astrocyte	http://purl.obolibrary.org/obo/CL_0000127	astrocyte	1	repaired IRI resolves
malformed	http://purl.obolibrary.org/obo/CL:4023017	sst GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4023017	sst GABAergic interneuron	1	repaired IRI resolves
clo_twin	http://purl.obolibrary.org/obo/CLO_0001084	143 B cell	http://purl.obolibrary.org/obo/CLO_0001088	143B cell	1	Cellosaurus 56.0: both spellings are synonyms of CVCL_2270 (143B); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001606	A-673 cell	http://purl.obolibrary.org/obo/CLO_0001605	A673 cell	1	Cellosaurus 56.0: both spellings are synonyms of CVCL_0080 (A-673); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0002165	Ca Ski cell	http://purl.obolibrary.org/obo/CLO_0002201	CaSki cell	1	Cellosaurus 56.0: both spellings are synonyms of CVCL_1100 (Ca Ski); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0004266	HT 1080 cell	http://purl.obolibrary.org/obo/CLO_0004276	HT-1080 cell	1	Cellosaurus 56.0: both spellings are synonyms of CVCL_0317 (HT-1080); R3 EFO xrefs it (an external ontology's editorial pick)
